Year,State,State.abb,Age,Gender,New_heart_disease_crude_value,New_teeth_removal_value,New_dental_visit_value,New_grocery_stores_value,New_supercenter_value,New_convenience_stores_value,New_fastfood_restaurant_value,New_fullservice_restaurant_value,New_foodinsecurity_value,New_farmersmarket_value
1999,Alabama,AL,35-44,Female,47,39.6,63.1,860,77,2960,3483,2677,11.90,108
1999,Alabama,AL,75-84,Male,3330,39.6,63.1,860,77,2960,3483,2677,11.90,108
1999,Alabama,AL,55-64,Female,280.8,39.6,63.1,860,77,2960,3483,2677,11.90,108
1999,Alabama,AL,65-74,Male,1395.2,39.6,63.1,860,77,2960,3483,2677,11.90,108
1999,Alabama,AL,85+,Female,8163.4,39.6,63.1,860,77,2960,3483,2677,11.90,108
1999,Alabama,AL,35-44,Male,88.2,39.6,63.1,860,77,2960.01,3483,2677,11.90,108
1999,Alabama,AL,85+,Male,8892.2,39.6,63.1,860,77,2960,3483,2677,11.90,108
1999,Alabama,AL,45-54,Male,232.1,39.6,63.1,860,77,2959.98,3483,2677,11.90,108
1999,Alabama,AL,75-84,Female,2345.8,39.6,63.1,859.99,77,2959.98,3483,2677,11.90,108
1999,Alabama,AL,45-54,Female,107.5,39.6,63.1,860.01,77,2960.05,3483,2677,11.90,108
1999,Alabama,AL,55-64,Male,605.5,39.6,63.1,860.02,77,2960.09,3483,2677,11.90,108
1999,Alabama,AL,65-74,Female,797.5,39.6,63.1,859.96,77,2959.84,3483,2677,11.90,108
1999,Alaska,AK,65-74,Male,1203.8,58.2,71.9,859.91,76.99,2959.65,3483,2677,11.88,108
1999,Alaska,AK,65-74,Female,640.3,58.2,71.9,860.12,77.01,2960.46,3483,2677,11.98,108
1999,Alaska,AK,75-84,Female,2121.6,58.2,71.9,860.37,77.03,2961.35,3482.99,2676.99,11.65,108
1999,Alaska,AK,45-54,Male,104.4,58.2,71.9,859.68,76.97,2958.82,3483,2677.01,11.04,108
1999,Alaska,AK,55-64,Male,332.3,58.2,71.9,858.63,76.88,2954.96,3483.02,2677.04,11.09,108
1999,Alaska,AK,75-84,Male,2388.5,58.2,71.9,860.69,77.06,2962.53,3482.99,2676.98,11.11,108
1999,Alaska,AK,55-64,Female,148.8,58.2,71.9,865.01,77.45,2978.41,3482.93,2676.85,11.09,108
1999,Alaska,AK,85+,Male,5875.3,58.2,71.9,859.17,76.93,2956.94,3483.01,2677.03,11.10,108
1999,Alaska,AK,45-54,Female,48.5,58.2,71.9,842.14,75.41,2894.32,3483.25,2677.55,11.10,107.99
1999,Alaska,AK,85+,Female,5408.7,58.2,71.9,857.48,76.78,2950.73,3483.04,2677.08,11.10,108
1999,Alaska,AK,35-44,Male,4598.36,58.2,71.9,922.22,82.55,3188.88,3482.12,2675.08,11.10,108.05
1999,Arizona,AZ,45-54,Female,53.8,50.2,68.3,886.95,79.4,3059.11,3482.62,2676.17,11.10,108.02
1999,Arizona,AZ,35-44,Male,43.4,50.2,68.3,605.38,54.31,2023.46,3487,2685.77,11.10,107.78
1999,Arizona,AZ,65-74,Female,522.8,50.2,68.3,259.74,23.5,752.1,3495.69,2704.83,11.10,107.28
1999,Arizona,AZ,35-44,Female,18.3,50.2,68.3,126.94,11.67,263.62,3508.33,2732.56,11.10,106.57
1999,Arizona,AZ,65-74,Male,1014.3,50.2,68.3,174.32,15.89,437.92,3524.56,2768.16,11.11,105.64
1999,Arizona,AZ,55-64,Male,413.4,50.2,68.3,216.47,19.65,592.92,3544,2810.81,11.05,104.53
